variable,mean(|SHAP|),gain,cover
_AGEG5YR_3.0,0.03140362352132797,4.702071642142856,3957.171989580203
FLUSHOT6,0.03098313882946968,3.8646173067495497,860.2440672021175
EDUCA_5.0,0.030853481963276863,2.7919177174227934,328.321409803771
CHCSCNCR,0.03072536364197731,3.5383285089023535,2094.223611940706
HADHYST2,0.030658986419439316,2.925136097103185,439.8982188870064
HADSIGM3,0.03049120120704174,3.1802183976192,531.7977784544396
_SMOKER3_4.0,0.030120568349957466,2.8456324936658026,472.5178864582545
_AGEG5YR_12.0,0.029948865994811058,3.4352184060388367,2853.1282846050476
_CHISPNC,0.029692066833376884,3.210921507221838,2561.807917611034
INCOME2_8.0,0.02952129952609539,3.6687073261329535,677.3970857080111
_RFPAP34,0.029393279924988747,3.236828482967848,587.2103757800422
HADPAP2,0.02938525378704071,4.574288115258974,1310.8282062475223
VETERAN3,0.029099691659212112,3.2128212320389484,1238.0938052753156
_URBSTAT,0.02906319685280323,2.9343316872447303,683.8078037288285
EDUCA_4.0,0.02897028997540474,2.616962188579747,582.2722795857803
HIVRISK5,0.028443515300750732,4.644140571847619,2767.2350073242865
PCPSARE1,0.02830692194402218,3.537733185551769,527.9640001771681
SO_2.0,0.027636203914880753,2.625666816143499,404.3895717526
PCPSAAD3,0.02742767706513405,3.2608723669000024,483.62766279457117
DEAF,0.027323653921484947,3.4309285618781233,799.5119061008597
TRNSGNDR_4.0,0.027107082307338715,3.0917239776333343,153.82956649126447
LASTPAP2_1.0,0.026700081303715706,3.2862934591388417,1093.1355830833884
CHCOCNCR,0.026689033955335617,3.8654560892895793,1454.0054544036752
MEDCOST,0.026550287380814552,3.7993070199470163,1234.3068557314184
LASTDEN4_3.0,0.025743596255779266,3.1238661255563107,2311.540468295146
_RACE_2.0,0.02556527778506279,3.6919163446515384,860.8207129828462
DIFFALON,0.025218021124601364,3.0908997879696436,1508.999369412201
MARITAL_5.0,0.025180820375680923,3.4581566529127508,1479.13645729537
_RACE_8.0,0.024615054950118065,3.4597845352747254,2200.0256597361536
HADMAM,0.024502824991941452,3.1118426732985704,877.1146000006431
PERSDOC2_1.0,0.02400161884725094,3.0140623929488783,385.2401578663483
ADDEPEV2,0.02377306856215,2.8902966726418104,988.8156514197843
COPDBRTH,0.023724621161818504,3.69783102339754,1541.2626173237693
_FS5YR,0.023493267595767975,3.191258528424498,1079.75356095065
EMPLOY1_2.0,0.023424655199050903,3.83230562709804,2329.8547823871563
PSATIME_1.0,0.023372603580355644,3.022255231381394,2145.781112725232
PCPSADI1,0.02304656058549881,3.703939291192307,1093.8720057436058
RCSGENDR,0.022867513820528984,3.3945818094434426,1228.1665988182792
HADSGCO1,0.022797267884016037,2.958747160112805,895.6258555316475
PREGNANT,0.022717835381627083,3.9135611843855433,2752.70522047012
SMOKDAY2_3.0,0.02247047796845436,2.8712283603985287,279.73715735323526
DECIDE,0.022324198856949806,2.988813035441818,913.1657879040446
_CRCREC,0.02224581502377987,3.58432453549785,350.0398143944086
_AGEG5YR_8.0,0.022119350731372833,3.2803218634500007,847.1127319395538
DIFFDRES,0.021425463259220123,3.4259525858891293,2751.55051474
MSCODE_5.0,0.021115245297551155,2.994889034929134,615.9294533581889
IMFVPLAC_5.0,0.021012475714087486,3.3607571570226584,1167.5303326941403
_CRACE1_1.0,0.02083870954811573,3.9297733807209303,3044.505323162326
RENTHOM1_1.0,0.020786793902516365,2.859434767049056,501.31811446896234
LASTDEN4_4.0,0.020721904933452606,3.554774923637499,747.6856775748809
_STATE_36.0,0.020648060366511345,3.3518879281448255,1280.472898654483
PERSDOC2_2.0,0.02063746005296707,3.8048948899166626,1177.515481067778
_ASTHMS1_1.0,0.020632756873965263,3.223964943776223,1102.5881122779028
INCOME2_7.0,0.02031395584344864,3.7032930395527406,987.6502627549997
_HFOB3YR,0.02022242546081543,3.1419602516946754,587.2439979660945
SEATBELT_1.0,0.020157858729362488,3.2381999544357134,390.2358874409285
LASTSIG3_1.0,0.019896790385246277,3.1370659049198726,1103.7537637390383
CASTHDX2,0.01982736587524414,3.8741930018939748,1394.958276630722
MARITAL_2.0,0.019591962918639183,3.527547398129212,599.0453313037638
_AGEG5YR_13.0,0.019518064334988594,4.787840227534678,1396.1974446010488
NUMPHON3,0.019012438133358955,3.1603645283945636,2192.522885653884
COPDBTST,0.018759677186608315,3.471692193040541,797.1838787008783
_BMI5CAT_3.0,0.018428057432174683,2.9171223979415384,196.10965258146152
LASTDEN4_2.0,0.018266992643475533,3.346401923852175,921.4870850298258
_RFBING5,0.017607348039746284,3.6575509453478263,2284.914602583043
EMPLOY1_8.0,0.017581332474946976,3.2370236190416657,1243.015035804
HOWLONG_1.0,0.017392553389072418,3.1088100901469713,537.2532236813634
