variable,mean(|SHAP|),gain,weight
EMPLOY1_1.0,0.018634332343935966,23.87716235261818,55.0
HTM4,0.018368015065789223,7.503090666805765,312.0
_RFPSA22,0.01825786381959915,19.089425085874996,48.0
_AGEG5YR_3.0,0.017328904941678047,21.778838819166666,24.0
NUMADULT,0.01668374426662922,7.426854944689998,130.0
_AGEG5YR_12.0,0.016034051775932312,11.919805312195122,41.0
CHECKUP1_4.0,0.015647895634174347,17.72657565809524,21.0
FLSHTMY2,0.01557805947959423,7.177144082755989,209.0
STOPSMK2,0.014935089275240898,14.712714810392157,51.0
PCPSADI1,0.014619162306189537,15.61750918506976,43.0
RMVTETH4_1.0,0.014308402314782143,25.525829530199996,35.0
HADSIGM3,0.013855798169970512,34.809615926399985,50.0
RENTHOM1_2.0,0.01369097176939249,8.758447835714284,21.0
_AGEG5YR_9.0,0.013493896462023258,10.72036480542857,35.0
CHILDREN,0.01349057536572218,9.333945441263507,148.0
CHCCOPD1,0.013136220164597034,12.840629235764704,85.0
CHCSCNCR,0.012661756947636604,9.343525047466665,45.0
ECIGARET,0.012385206297039986,7.151619060713636,66.0
LANDLINE,0.012224451638758183,8.295177180969695,66.0
MEDCOST,0.01221667230129242,10.540014081739999,50.0
_AGEG5YR_7.0,0.011894489638507366,16.71055139363636,22.0
HPVTEST,0.011779110878705978,8.262886002395605,91.0
PCPSARE1,0.01176028698682785,18.58874431066037,53.0
HADMAM,0.01163861807435751,10.695632165357143,56.0
_AGEG5YR_10.0,0.011577756144106388,9.701889131,30.0
HADPAP2,0.011289634741842747,19.67760893325263,38.0
PREGNANT,0.011251618154346943,13.627945846531253,32.0
_COL10YR,0.01121592242270708,9.810460008913042,46.0
HIVRISK5,0.010862346738576889,16.539860549162785,43.0
CPDEMO1B,0.01074276678264141,7.069836046220454,109.0
MENTHLTH,0.010735267773270607,6.593036611042047,176.0
POORHLTH,0.010618957690894604,7.395121728919354,248.0
CHCOCNCR,0.01039499044418335,10.590323286612902,62.0
INCOME2_8.0,0.01015731692314148,14.56885239724138,29.0
SMOKE100,0.010147351771593094,13.178401360000008,26.0
PCPSAAD3,0.009788676165044308,16.592743964901967,51.0
HIVTSTD3,0.009319212287664413,7.53463601753398,206.0
DEAF,0.00923831481486559,9.33156737232143,56.0
_RACE_4.0,0.008800703100860119,12.338134328333332,30.0
FALLINJ3,0.008560038171708584,8.28801500374757,103.0
RMVTETH4_3.0,0.008496161550283432,11.913572787241382,29.0
SEATBELT_1.0,0.008488990366458893,6.365094336185186,27.0
_RACE_8.0,0.008338815532624722,8.353908489090912,33.0
_AGEG5YR_13.0,0.007969637401401997,16.894125660869566,46.0
DIFFDRES,0.007902828976511955,7.868413617914288,35.0
AVEDRNK2,0.007734900806099176,10.378635538378383,74.0
IMFVPLAC_5.0,0.007576126139611006,7.079029587066665,30.0
_AGEG5YR_4.0,0.007337198127061129,7.561939996733332,15.0
_ASTHMS1_3.0,0.007276540156453848,8.231693658860467,43.0
_ASTHMS1_1.0,0.007151971571147442,9.723658199836589,41.0
EMPLOY1_8.0,0.006895221769809723,14.388966322760869,46.0
