variable,mean(|SHAP|),gain,weight
SUNPRTCT_6.0,7.4673134804470465e-06,5.53543472,1.0
_BMI5CAT_4.0,4.5091974243405275e-06,1.81812167,2.0
_STATE_34.0,0.0,0.0,0.0
_STATE_10.0,0.0,0.0,0.0
_STATE_9.0,0.0,0.0,0.0
PVTRESD,0.0,0.0,0.0
_STATE_5.0,0.0,0.0,0.0
CSRVINSR,0.0,0.0,0.0
CSRVDEIN,0.0,0.0,0.0
CSRVCLIN,0.0,0.0,0.0
HAVARTH3,0.0,0.0,0.0
SUNPRTCT_2.0,0.0,0.0,0.0
TRNSGNDR_3.0,0.0,0.0,0.0
CNCRDIFF_3.0,0.0,0.0,0.0
CDHELP_4.0,0.0,0.0,0.0
PCPSADE1_1.0,0.0,0.0,0.0
PCPSADE1_4.0,0.0,0.0,0.0
LENGEXAM_2.0,0.0,0.0,0.0
LENGEXAM_3.0,0.0,0.0,0.0
LENGEXAM_4.0,0.0,0.0,0.0
HPVADVC2_3.0,0.0,0.0,0.0
HPVADSHT_1.0,0.0,0.0,0.0
CNCRTYP1_10.0,0.0,0.0,0.0
CNCRTYP1_23.0,0.0,0.0,0.0
CNCRTYP1_11.0,0.0,0.0,0.0
CNCRTYP1_12.0,0.0,0.0,0.0
CNCRTYP1_14.0,0.0,0.0,0.0
CNCRTYP1_16.0,0.0,0.0,0.0
CNCRTYP1_19.0,0.0,0.0,0.0
CNCRTYP1_2.0,0.0,0.0,0.0
CNCRTYP1_20.0,0.0,0.0,0.0
CNCRTYP1_21.0,0.0,0.0,0.0
CDHELP_5.0,0.0,0.0,0.0
CDSOCIAL_1.0,0.0,0.0,0.0
CDSOCIAL_2.0,0.0,0.0,0.0
CDSOCIAL_3.0,0.0,0.0,0.0
SUNPRTCT_4.0,0.0,0.0,0.0
SUNPRTCT_8.0,0.0,0.0,0.0
WKENDOUT_2.0,0.0,0.0,0.0
WKENDOUT_6.0,0.0,0.0,0.0
WKENDOUT_7.0,0.0,0.0,0.0
SEATBELT_8.0,0.0,0.0,0.0
HLTHCVR1_2.0,0.0,0.0,0.0
_SMOKER3_3.0,0.0,0.0,0.0
IYEAR_b'2019',0.0,0.0,0.0
_SMOKER3_2.0,0.0,0.0,0.0
_SMOKER3_1.0,0.0,0.0,0.0
RSNMRJN1_2.0,0.0,0.0,0.0
IMFVPLAC_10.0,0.0,0.0,0.0
USEMRJN2_4.0,0.0,0.0,0.0
USEMRJN2_3.0,0.0,0.0,0.0
CDSOCIAL_5.0,0.0,0.0,0.0
CDSOCIAL_4.0,0.0,0.0,0.0
CNCRTYP1_22.0,0.0,0.0,0.0
CNCRTYP1_25.0,0.0,0.0,0.0
_BMI5CAT_1.0,0.0,0.0,0.0
CDHOUSE_5.0,0.0,0.0,0.0
CDHELP_3.0,0.0,0.0,0.0
CDHELP_2.0,0.0,0.0,0.0
CDHELP_1.0,0.0,0.0,0.0
CDASSIST_5.0,0.0,0.0,0.0
CDASSIST_4.0,0.0,0.0,0.0
CDASSIST_3.0,0.0,0.0,0.0
CDASSIST_2.0,0.0,0.0,0.0
CDASSIST_1.0,0.0,0.0,0.0
CDHOUSE_4.0,0.0,0.0,0.0
CNCRTYP1_27.0,0.0,0.0,0.0
RCSRLTN2_4.0,0.0,0.0,0.0
RCSRLTN2_5.0,0.0,0.0,0.0
RCSRLTN2_6.0,0.0,0.0,0.0
CDHOUSE_3.0,0.0,0.0,0.0
CDHOUSE_2.0,0.0,0.0,0.0
_CRACE1_4.0,0.0,0.0,0.0
_CRACE1_5.0,0.0,0.0,0.0
CDHOUSE_1.0,0.0,0.0,0.0
CSRVCTL1_4.0,0.0,0.0,0.0
CSRVCTL1_3.0,0.0,0.0,0.0
CSRVCTL1_1.0,0.0,0.0,0.0
CSRVDOC1_9.0,0.0,0.0,0.0
CNCRTYP1_28.0,0.0,0.0,0.0
CNCRTYP1_29.0,0.0,0.0,0.0
CNCRTYP1_4.0,0.0,0.0,0.0
CNCRTYP1_5.0,0.0,0.0,0.0
CNCRTYP1_6.0,0.0,0.0,0.0
CNCRTYP1_7.0,0.0,0.0,0.0
CNCRTYP1_8.0,0.0,0.0,0.0
CNCRTYP1_9.0,0.0,0.0,0.0
CSRVTRT2_2.0,0.0,0.0,0.0
CSRVTRT2_3.0,0.0,0.0,0.0
CSRVTRT2_4.0,0.0,0.0,0.0
CSRVDOC1_1.0,0.0,0.0,0.0
CSRVDOC1_3.0,0.0,0.0,0.0
CSRVDOC1_4.0,0.0,0.0,0.0
CSRVDOC1_6.0,0.0,0.0,0.0
CSRVDOC1_7.0,0.0,0.0,0.0
CSRVDOC1_8.0,0.0,0.0,0.0
LSTCOVRG_1.0,0.0,0.0,0.0
